encoded_image,label
"[[[129 104 117]
  [128 103 116]
  [120 108 108]
  ...
  [186 193 193]
  [192 190 189]
  [192 190 189]]

 [[126 105 110]
  [126 105 110]
  [117 106 107]
  ...
  [189 187 187]
  [192 190 191]
  [192 190 191]]

 [[120 108 108]
  [120 108 108]
  [118 109 110]
  ...
  [190 189 192]
  [189 191 197]
  [189 191 197]]

 ...

 [[ 76  84  76]
  [ 76  84  76]
  [ 76  83  80]
  ...
  [ 45  30  22]
  [ 44  29   9]
  [ 43  28   8]]

 [[ 74  84  80]
  [ 74  84  80]
  [ 76  83  80]
  ...
  [ 43  28  19]
  [ 41  28  12]
  [ 41  28  12]]

 [[ 76  83  80]
  [ 76  83  80]
  [ 77  81  84]
  ...
  [ 41  28  12]
  [ 41  27  20]
  [ 41  27  20]]]",label1
"[[[114 115 108]
  [116 118 110]
  [130 106 112]
  ...
  [198 188 196]
  [182 201 181]
  [172 191 171]]

 [[119 120 115]
  [118 118 114]
  [125 116 117]
  ...
  [192 197 196]
  [183 203 192]
  [175 195 183]]

 [[125 116 115]
  [126 117 116]
  [125 116 117]
  ...
  [192 198 194]
  [195 198 206]
  [194 197 205]]

 ...

 [[ 87  88  85]
  [ 84  84  82]
  [ 84  84  84]
  ...
  [ 36  23  23]
  [ 47  21  27]
  [ 44  18  25]]

 [[ 90  83  85]
  [ 89  81  84]
  [ 83  82  85]
  ...
  [ 38  27  24]
  [ 37  28  26]
  [ 35  27  25]]

 [[ 87  76  84]
  [ 86  75  83]
  [ 73  81  85]
  ...
  [ 33  32  25]
  [ 39  29  23]
  [ 38  28  22]]]",label1
"[[[101 113 113]
  [ 75  86  87]
  [ 68  80  64]
  ...
  [183 194 195]
  [186 196 190]
  [186 196 190]]

 [[ 98 112 105]
  [ 94 109 102]
  [ 97 108 100]
  ...
  [183 195 189]
  [186 196 190]
  [186 196 190]]

 [[101 110 107]
  [102 112 108]
  [113 113 111]
  ...
  [183 195 189]
  [189 194 190]
  [190 195 191]]

 ...

 [[ 65  74  73]
  [ 67  76  75]
  [ 72  76  84]
  ...
  [ 41  26  22]
  [ 33  32  14]
  [ 33  32  14]]

 [[ 74  76  78]
  [ 76  78  80]
  [ 78  79  85]
  ...
  [ 41  25  26]
  [ 40  29  14]
  [ 41  30  15]]

 [[ 80  76  84]
  [ 80  76  84]
  [ 78  78  87]
  ...
  [ 43  25  26]
  [ 40  27  20]
  [ 40  27  20]]]",label2
"[[[109 107 101]
  [105 104  98]
  [116 118 108]
  ...
  [164 177 170]
  [197 189 185]
  [208 199 195]]

 [[114 116 106]
  [116 118 108]
  [119 120 113]
  ...
  [183 195 189]
  [198 190 184]
  [202 194 187]]

 [[109 115 106]
  [109 115 106]
  [113 114 109]
  ...
  [186 194 189]
  [188 193 187]
  [189 194 188]]

 ...

 [[ 71  78  74]
  [ 73  81  76]
  [ 74  82  79]
  ...
  [ 42  25  19]
  [ 45  23  21]
  [ 43  20  19]]

 [[ 73  80  78]
  [ 74  82  79]
  [ 74  82  79]
  ...
  [ 43  28  19]
  [ 43  26  20]
  [ 42  25  19]]

 [[ 74  81  81]
  [ 74  81  81]
  [ 73  82  79]
  ...
  [ 45  29  30]
  [ 46  26  19]
  [ 48  29  22]]]",label2
"[[[106 117  79]
  [126 137  99]
  [111 110 103]
  ...
  [202 188 188]
  [196 196 192]
  [197 197 193]]

 [[103 116  82]
  [112 124  90]
  [106 112 103]
  ...
  [195 191 188]
  [196 192 189]
  [196 192 189]]

 [[111 109  98]
  [113 110  99]
  [106 112 103]
  ...
  [192 192 190]
  [193 194 189]
  [193 194 189]]

 ...

 [[121 120 116]
  [121 120 116]
  [113 121 112]
  ...
  [ 51  28  27]
  [ 42  24  21]
  [ 43  25  22]]

 [[144 116 118]
  [144 116 118]
  [125 124 115]
  ...
  [ 52  22  23]
  [ 48  19  13]
  [ 51  22  16]]

 [[167 138 139]
  [164 134 135]
  [151 136 118]
  ...
  [ 64  15  22]
  [ 48  19  13]
  [ 50  21  15]]]",label3
"[[[107 111 100]
  [108 112 101]
  [102 120 105]
  ...
  [194 197 194]
  [189 199 194]
  [191 202 196]]

 [[108 111 103]
  [108 111 103]
  [108 111 107]
  ...
  [187 197 189]
  [189 200 189]
  [190 201 191]]

 [[110 115 111]
  [109 114 110]
  [110 113 110]
  ...
  [181 191 185]
  [186 196 188]
  [187 197 189]]

 ...

 [[ 78  87  73]
  [ 76  85  70]
  [ 77  84  72]
  ...
  [ 37  30  14]
  [ 35  33  13]
  [ 35  33  13]]

 [[ 79  87  69]
  [ 79  87  69]
  [ 79  86  75]
  ...
  [ 38  29  18]
  [ 38  30  21]
  [ 38  30  21]]

 [[ 81  85  73]
  [ 81  85  73]
  [ 81  85  75]
  ...
  [ 38  27  24]
  [ 35  29  22]
  [ 36  31  23]]]",label3
"[[[113 112 106]
  [111 110 103]
  [114 107 109]
  ...
  [186 194 189]
  [182 195 184]
  [177 190 179]]

 [[115 111 106]
  [115 111 106]
  [109 110 107]
  ...
  [187 194 192]
  [179 193 177]
  [183 197 181]]

 [[110 117  99]
  [109 116  98]
  [110 113 110]
  ...
  [199 204 203]
  [212 206 192]
  [207 200 186]]

 ...

 [[ 75  87  83]
  [ 75  87  83]
  [ 77  87  84]
  ...
  [ 39  28   9]
  [ 40  29  12]
  [ 40  29  12]]

 [[ 74  83  84]
  [ 73  82  83]
  [ 69  78  80]
  ...
  [ 43  28   8]
  [ 42  27   7]
  [ 40  25   5]]

 [[ 74  82  90]
  [ 73  80  89]
  [ 73  81  87]
  ...
  [ 50  30  10]
  [ 44  30   7]
  [ 44  30   7]]]",label3
"[[[101 115 103]
  [101 115 103]
  [101 114 107]
  ...
  [181 194 199]
  [181 190 189]
  [183 193 192]]

 [[103 114 101]
  [105 117 104]
  [103 113 107]
  ...
  [185 194 193]
  [183 193 190]
  [181 191 187]]

 [[108 111 107]
  [108 111 107]
  [108 118 112]
  ...
  [187 196 195]
  [185 194 191]
  [185 194 191]]

 ...

 [[ 75  80  78]
  [ 72  77  76]
  [ 86  81  81]
  ...
  [ 43  29  15]
  [ 44  27  19]
  [ 43  26  18]]

 [[ 81  78  79]
  [ 95  92  93]
  [ 90  81  80]
  ...
  [ 40  29  14]
  [ 41  29  21]
  [ 40  27  20]]

 [[ 89  80  79]
  [ 98  89  88]
  [ 90  83  85]
  ...
  [ 40  30   8]
  [ 40  27  20]
  [ 41  29  21]]]",label3
"[[[101 118 108]
  [ 98 116 105]
  [110 113 110]
  ...
  [196 193 187]
  [202 192 198]
  [204 194 200]]

 [[101 114 107]
  [101 114 107]
  [103 113 107]
  ...
  [196 193 187]
  [198 189 190]
  [202 193 194]]

 [[101 114 105]
  [100 113 104]
  [103 113 107]
  ...
  [202 193 192]
  [199 187 189]
  [199 187 189]]

 ...

 [[ 81  83  83]
  [ 81  83  83]
  [ 80  80  82]
  ...
  [ 37  30  16]
  [ 33  31  16]
  [ 35  33  17]]

 [[ 87  81  90]
  [ 87  81  90]
  [ 78  85  85]
  ...
  [ 35  29  15]
  [ 42  19  16]
  [ 42  19  16]]

 [[ 91  80  93]
  [ 90  79  92]
  [ 78  87  75]
  ...
  [ 24  29  11]
  [ 36  20  18]
  [ 33  18  16]]]",label3
"[[[ 98 110  97]
  [ 96 107  94]
  [ 88 105  99]
  ...
  [190 202 185]
  [187 198 174]
  [192 203 179]]

 [[ 96 106  98]
  [ 98 109 101]
  [ 88  98  92]
  ...
  [190 201 191]
  [186 195 183]
  [188 197 185]]

 [[102 112 106]
  [ 98 108 103]
  [114 120 116]
  ...
  [191 202 194]
  [185 195 189]
  [176 186 181]]

 ...

 [[ 72  82  72]
  [ 72  82  72]
  [ 72  82  74]
  ...
  [ 34  15  19]
  [ 35  16  18]
  [ 35  16  18]]

 [[ 68  88  72]
  [ 68  88  72]
  [ 74  85  72]
  ...
  [ 28  17  16]
  [ 42   9  16]
  [ 43  10  17]]

 [[ 76  89  69]
  [ 76  89  69]
  [ 75  90  66]
  ...
  [ 23  17  15]
  [ 36  11  13]
  [ 34   9  10]]]",label3
